job_id,title,description,required_skills,experience_years,education
JD001,Machine Learning Engineer,"We are seeking a skilled Machine Learning Engineer to design and implement ML models. You will work with large datasets, build predictive models, and deploy solutions to production. The ideal candidate has strong Python skills and experience with deep learning frameworks.","Python,Machine Learning,Deep Learning,TensorFlow,PyTorch,SQL,Data Processing,Scikit-learn,AWS,Docker",3,"Bachelor's in CS or related field"
JD002,Data Scientist,"Join our data science team to extract insights from complex data. You'll build statistical models, create visualizations, and communicate findings to stakeholders. Experience with NLP and time-series analysis is a plus.","Python,R,SQL,Statistics,Machine Learning,Data Visualization,Tableau,Pandas,NumPy,Communication",2,"Master's in Statistics or CS"
JD003,AI Research Scientist,"Lead cutting-edge AI research projects. Develop novel algorithms for computer vision and NLP applications. Publish research papers and collaborate with academic partners.","Deep Learning,Computer Vision,NLP,PyTorch,TensorFlow,Research,Mathematics,Python,C++,CUDA",5,"PhD in AI or related field"
JD004,Data Analyst,"Analyze business data to drive strategic decisions. Create dashboards, reports, and automated data pipelines. Work closely with business teams to understand requirements.","SQL,Excel,Tableau,Power BI,Python,Pandas,Data Visualization,Statistics,ETL,Communication",1,"Bachelor's in any field"
JD005,Software Engineer - AI/ML,"Build scalable AI-powered features for our product. Integrate ML models into production systems. Optimize inference speed and model performance.","Python,Java,Machine Learning,REST APIs,Microservices,Docker,Kubernetes,CI/CD,Git,SQL",3,"Bachelor's in CS"
JD006,NLP Engineer,"Specialize in natural language processing solutions. Build chatbots, sentiment analysis systems, and text classification models. Experience with transformers and large language models preferred.","Python,NLP,Transformers,BERT,spaCy,NLTK,Deep Learning,Machine Learning,AWS,FastAPI",2,"Bachelor's in CS or Linguistics"
JD007,Computer Vision Engineer,"Develop computer vision solutions for image and video analysis. Work on object detection, segmentation, and facial recognition systems.","Python,OpenCV,PyTorch,TensorFlow,Computer Vision,Deep Learning,C++,CUDA,Image Processing,Machine Learning",3,"Bachelor's in CS or EE"
JD008,MLOps Engineer,"Bridge the gap between ML development and operations. Build CI/CD pipelines for ML models, monitor model performance, and manage infrastructure.","Python,Docker,Kubernetes,AWS,Azure,CI/CD,MLflow,TensorFlow Serving,Git,Linux",3,"Bachelor's in CS or related"
JD009,Business Intelligence Analyst,"Transform raw data into actionable business insights. Design data warehouses, create executive dashboards, and perform ad-hoc analysis.","SQL,Power BI,Tableau,ETL,Data Warehousing,Python,Excel,Statistics,Business Analysis,Communication",2,"Bachelor's in Business or CS"
JD010,AI Product Manager,"Lead AI product development from ideation to launch. Define product roadmap, work with engineering teams, and ensure AI ethics and fairness.","Product Management,AI/ML Knowledge,Agile,Data Analysis,Communication,Strategy,User Research,A/B Testing,SQL,Leadership",4,"Bachelor's in any field"
